id pop year region species cluster geno_sex sequenced rgb_r_mean rgb_r_mode rgb_g_mean rgb_g_mode rgb_b_mean rgb_b_mode luminance_mean luminance_mode isotope_d13C isotope_d15N isotope_d13C_resid isotope_d15N_resid isotope_CN_ratio csize PC1 PC2 PC3 PC4 PC5 PC6 egg_diameter_mean egg_diameter_sd egg_number egg_weight sex testis_length_mean testis_width_mean testis_weight std_length body_depth1 body_depth2 spine_dorsal1 spine_dorsal2 spine_dorsal3 spine_pelvic joint_sex raker_long_count raker_short_count plate_count
CL45 CL 2014 HA wht wht M 1 138.092530657748 156 136.807599405425 155 133.911557041992 149 408.811687105165 408.811687105165 -15.28 10.98 3.19222222222222 -0.879999999999999 3.24207848276925 4.25985484634141 0.0273622954148295 0.0051225165166575 0.00393345582920989 0.0119157391559962 0.00134509677001767 0.00694859424184837 NA NA NA NA M 4 1 0.405 3.54 0.75 0.73 0.338321596 0.33 0.121159624 0.507237089 M NA NA NA
CL47 CL 2014 HA wht wht F 1 152.391748570159 131 147.417013715365 132 143.664723193959 132 443.473485479483 443.473485479483 -18.33 9.65 -0.00666666666666521 -2.25533333333333 3.24377288062594 4.91350924942961 0.0217025330099134 -0.0314503023023341 -0.00341244094395172 -0.00804531925560438 0.000730508018856103 0.00123655447770062 1.385 0.078351061823621 56 3.114 F NA NA NA 3.9 0.87 0.91 0.389479233 0.426 0.184936089 0.57089532 F NA NA NA
CL50 CL 2014 HA wht cmn F 1 151.808677134647 184 148.580023604269 177 147.869714696223 162 448.25841543514 448.25841543514 -16.8 11.95 1.52333333333333 0.0446666666666661 3.25476590460887 6.57073413708997 -0.0596691721390335 -0.00866239287943913 -0.0144736174817388 -0.01347995179783 0.0013639297449073 0.0132955582398293 1.08 0.0788810637746615 74 2.079 F NA NA NA 5.18 1.2 1.25 0.642906099 0.655 0.164234982 0.817912319 F NA NA NA
CL53 CL 2014 HA cmn cmn F 1 152.416933563275 155 146.746571405108 150 142.938901207194 143 442.102406175577 442.102406175577 -17.8 12.37 0.523333333333332 0.464666666666666 3.22597035991531 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA F NA NA NA
CL54 CL 2014 HA wht wht F 1 NA NA NA NA NA NA NA NA -18.88 12.46 -0.556666666666666 0.554666666666668 3.27003140749397 NA NA NA NA NA NA NA 1.34 0.0966091783079296 86 2.77 F NA NA NA 4.27 1.04 1.08 NA NA NA NA F NA NA NA
CL56 CL 2014 HA wht wht F 1 137.523796296296 100 130.627777777778 106 125.205925925926 113 393.3575 393.3575 NA NA NA NA NA 4.177478903524 0.00185248197368941 -0.0158677782262618 -0.0126701963363301 -0.00426456132326787 0.0107301976174528 -0.00356296028893278 1.43 0.0823272602348565 39 2.912 F NA NA NA 3.36 0.76 0.74 0.384018383 0.417 0 0.539740101 F NA NA NA
CL58 CL 2014 HA cmn cmn F 1 152.291964285714 97 153.815476190476 98 156.281011904762 105 462.388452380952 462.388452380952 -19.68 12.95 -1.35666666666667 1.04466666666667 3.32982094171395 6.49098800635534 -0.0108546050983033 -0.0290791222322648 0.00912760678423433 0.00208986354397593 -0.00989332282574375 -0.00736685560120185 1.148 0.381569856717686 88 2.97 F NA NA NA 5.13 1.21 1.23 0.354600708 0.414 0 0.552448991 F NA NA NA
CL63 CL 2014 HA wht wht F 1 159.508841607565 130 149.323404255319 133 137.84170212766 129 446.673947990544 446.673947990544 NA NA NA NA NA 4.33632105690973 0.00282624338807501 -0.0228305045766418 0.0105020119264169 -0.00178145102935511 0.00576656566216257 -0.00110436226530023 1.455 0.0797565740933694 29 2.741 F NA NA NA 3.49 0.74 0.77 0.397163121 0.501 0.063434988 0.553373523 F NA NA NA
CL64 CL 2014 HA wht wht M 1 139.917749072224 98 135.560894233514 158 134.523747502141 155 410.002390807879 410.002390807879 NA NA NA NA NA 7.38779440970027 -0.0366328193034247 -0.0163199075161773 -0.000991483686969528 0.00231290318780232 -0.0111322924135259 0.00303111295257194 NA NA NA NA NA NA NA NA 5.82 1.4 1.45 0.339190772 0.434 0.121156496 0.592205366 M NA NA NA
CL64_2 CL 2014 HA cmn NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
CL9 CL 2014 HA cmn cmn F 1 146.385151717983 100 145.281347612673 101 144.605867916109 105 436.272367246765 436.272367246765 -19.07 12.39 -0.746666666666667 0.484666666666667 3.27377790539085 6.90550257509513 0.0216893694092717 -0.0446206261746836 0.0221476791794266 0.00591898285093112 -0.00072700812634897 -0.00439293036444412 1.11 0.0699205898780101 99 1.81 F NA NA NA 5.49 1.22 1.25 0.60739091 0.651 0.20950789 0.993007597 F NA NA NA
CPN10 CP 2014 AN cmn cmn F 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA F NA NA NA
CPN12 CP 2014 AN cmn cmn M 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA M NA NA NA
CPN13 CP 2014 AN cmn cmn M 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA M NA NA NA
CPN15 CP 2014 AN cmn cmn F 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA F NA NA NA
CPN17 CP 2014 AN cmn cmn M 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA M NA NA NA
CPN19 CP 2014 AN cmn cmn F 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA F NA NA NA
